STATE_NAME,Lg_Dist_Code,DISTRICT_NAME,MICRO_MANUFACTURING,SMALL_MANUFACTURING,MEDIUM_MANUFACTURING,TOTAL_MANUFACTURING,MICRO_SERVICE,SMALL_SERVICE,MEDIUM_SERVICE,TOTAL_SERVICE,TOTAL
JAMMU AND KASHMIR,14,UDHAMPUR,8091,102,2,8195,1313,21,1,1335,9530
LADAKH,6,KARGIL,2239,18,NA,2257,997,9,NA,1006,3263
LADAKH,9,LEH LADAKH,4589,62,2,4653,1302,17,NA,1319,5972
LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,620,NA,NA,620,112,NA,NA,112,732
PUDUCHERRY,598,KARAIKAL,4154,69,2,4225,767,17,2,786,5011
PUDUCHERRY,599,MAHE,289,20,3,312,93,7,NA,100,412
PUDUCHERRY,600,PONDICHERRY,20498,376,32,20906,4936,288,35,5259,26165
PUDUCHERRY,601,YANAM,258,17,3,278,151,13,4,168,446
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELLI,2436,21,1,2458,483,21,3,507,2965
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,463,DAMAN,973,5,2,980,264,16,2,282,1262
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,464,DIU,187,3,NA,190,28,NA,NA,28,218
